category_list,funding_total_usd,status,country_code,category_funding,category_funding_key,countryKey,statusKey
Software,"$3,400,000 ",operating,USA,low,1,1,1
Software,"$10,823,112 ",operating,USA,low,1,1,1
Software,"$40,000 ",operating,USA,low,1,1,1
Software,"$660,000 ",operating,USA,low,1,1,1
Software,"$1,000,000 ",operating,USA,low,1,1,1
Software,"$57,500 ",operating,USA,low,1,1,1
Software,"$5,068,086 ",operating,USA,low,1,1,1
Software,"$17,500,002 ",operating,USA,low,1,1,1
Software,"$1,235,096 ",operating,USA,low,1,1,1
Software,"$847,708 ",operating,USA,low,1,1,1
Software,"$3,203,850 ",operating,USA,low,1,1,1
Software,"$5,500,000 ",operating,USA,low,1,1,1
Software,"$100,000 ",operating,USA,low,1,1,1
Software,"$16,333,000 ",operating,USA,low,1,1,1
Software,"$2,190,000 ",operating,USA,low,1,1,1
Software,"$1,700,000 ",operating,USA,low,1,1,1
Software,"$100,000 ",operating,USA,low,1,1,1
Software,"$500,000 ",operating,USA,low,1,1,1
Software,"$1,700,000 ",operating,USA,low,1,1,1
Software,"$275,000 ",operating,USA,low,1,1,1
Software,"$1,500,000 ",operating,USA,low,1,1,1
Software,"$1,200,000 ",operating,USA,low,1,1,1
Software,"$1,000,000 ",operating,USA,low,1,1,1
Software,"$15,000,000 ",operating,USA,low,1,1,1
Software,"$118,000 ",operating,USA,low,1,1,1
Software,"$6,750,000 ",operating,USA,low,1,1,1
Software,"$395,000 ",operating,USA,low,1,1,1
Software,"$100,000 ",operating,USA,low,1,1,1
Software,"$2,699,955 ",operating,USA,low,1,1,1
Software,"$380,000 ",operating,USA,low,1,1,1
Software,"$3,300,000 ",operating,USA,low,1,1,1
Software,"$8,217,000 ",operating,USA,low,1,1,1
Software,"$1,200,000 ",operating,USA,low,1,1,1
Software,"$427,985 ",operating,USA,low,1,1,1
Software,"$2,600,000 ",operating,USA,low,1,1,1
Software,"$100,000 ",operating,USA,low,1,1,1
Software,"$4,000,000 ",operating,USA,low,1,1,1
Software,"$350,000 ",operating,USA,low,1,1,1
Software,"$600,000 ",operating,USA,low,1,1,1
Software,"$4,000,000 ",operating,USA,low,1,1,1
Software,"$300,000 ",operating,USA,low,1,1,1
Software,"$10,000 ",operating,USA,low,1,1,1
Software,"$7,553,998 ",operating,USA,low,1,1,1
Software,"$1,500,000 ",operating,USA,low,1,1,1
Software,"$2,542,026 ",operating,USA,low,1,1,1
Software,"$1,775,000 ",operating,USA,low,1,1,1
Software,"$1,400,000 ",operating,USA,low,1,1,1
Software,"$16,500,000 ",operating,USA,low,1,1,1
Software,"$19,362,343 ",operating,USA,low,1,1,1
Software,"$151,000 ",operating,USA,low,1,1,1
Software,"$2,800,000 ",operating,USA,low,1,1,1
Software,"$3,300,000 ",operating,USA,low,1,1,1
Software,"$2,070,000 ",operating,USA,low,1,1,1
Software,"$6,000,000 ",operating,USA,low,1,1,1
Software,"$10,842,343 ",operating,USA,low,1,1,1
Software,"$10,000,000 ",operating,USA,low,1,1,1
Software,"$5,970,000 ",operating,USA,low,1,1,1
Software,"$200,000 ",operating,USA,low,1,1,1
Software,"$38,979 ",operating,USA,low,1,1,1
Software,"$3,375,020 ",operating,USA,low,1,1,1
Software,"$5,000,000 ",operating,USA,low,1,1,1
Software,"$2,000,000 ",operating,USA,low,1,1,1
Software,"$5,135,754 ",operating,USA,low,1,1,1
Software,"$1,025,000 ",operating,USA,low,1,1,1
Software,"$4,000,000 ",operating,USA,low,1,1,1
Software,"$5,120,000 ",operating,USA,low,1,1,1
Software,"$4,250,000 ",operating,USA,low,1,1,1
Software,"$1,200,000 ",operating,USA,low,1,1,1
Software,"$12,000,000 ",operating,USA,low,1,1,1
Software,"$25,000 ",operating,USA,low,1,1,1
Software,"$100,000 ",operating,USA,low,1,1,1
Software,"$6,500,000 ",operating,USA,low,1,1,1
